,cod,message,coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,rain,snow
0,404,city not found,,,,,,,,,,,,,,
1,404,city not found,,,,,,,,,,,,,,
2,200,,"{'lon': 88.31, 'lat': 55.76}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 260.41, 'feels_like': 254.83, 'temp_min': 260.41, 'temp_max': 260.41, 'pressure': 1048, 'humidity': 93, 'sea_level': 1048, 'grnd_level': 1020}",10000.0,"{'speed': 3.27, 'deg': 261}",{'all': 100},1606849824.0,"{'country': 'RU', 'sunrise': 1606875247, 'sunset': 1606901922}",25200.0,1489554.0,Tisul',,
3,200,,"{'lon': 159.23, 'lat': 61.95}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 253.25, 'feels_like': 248.37, 'temp_min': 253.25, 'temp_max': 253.25, 'pressure': 1002, 'humidity': 73, 'sea_level': 1002, 'grnd_level': 995}",10000.0,"{'speed': 1.69, 'deg': 50}",{'all': 74},1606849824.0,"{'country': 'RU', 'sunrise': 1606861078, 'sunset': 1606882040}",39600.0,2125693.0,Evensk,,
4,200,,"{'lon': 147.92, 'lat': 70.63}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 252.19, 'feels_like': 245.1, 'temp_min': 252.19, 'temp_max': 252.19, 'pressure': 995, 'humidity': 91, 'sea_level': 995, 'grnd_level': 989}",8206.0,"{'speed': 4.91, 'deg': 202}",{'all': 94},1606849824.0,"{'country': 'RU', 'sunrise': 0, 'sunset': 0}",39600.0,2126123.0,Chokurdakh,,
5,200,,"{'lon': 100.2, 'lat': 8.35}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 296.96, 'feels_like': 300.57, 'temp_min': 296.96, 'temp_max': 296.96, 'pressure': 1009, 'humidity': 92, 'sea_level': 1009, 'grnd_level': 1009}",10000.0,"{'speed': 1.89, 'deg': 154}",{'all': 100},1606849825.0,"{'country': 'TH', 'sunrise': 1606864728, 'sunset': 1606906733}",25200.0,1608033.0,Pak Phanang,{'1h': 0.999},
6,200,,"{'lon': -68.3, 'lat': -54.8}","[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09d'}]",stations,"{'temp': 280.15, 'feels_like': 269.27, 'temp_min': 280.15, 'temp_max': 280.15, 'pressure': 983, 'humidity': 65}",10000.0,"{'speed': 12.9, 'deg': 290, 'gust': 18}",{'all': 40},1606849638.0,"{'type': 1, 'id': 8502, 'country': 'AR', 'sunrise': 1606809362, 'sunset': 1606870155}",-10800.0,3833367.0,Ushuaia,,
7,200,,"{'lon': 116.66, 'lat': 5.95}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 297.04, 'feels_like': 300.33, 'temp_min': 297.04, 'temp_max': 297.04, 'pressure': 1009, 'humidity': 94}",10000.0,"{'speed': 2.68, 'deg': 110}",{'all': 98},1606849825.0,"{'type': 3, 'id': 197877, 'country': 'MY', 'sunrise': 1606860541, 'sunset': 1606903017}",28800.0,1733502.0,Ranau,,
8,200,,"{'lon': -70.92, 'lat': -53.15}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 283.15, 'feels_like': 270.58, 'temp_min': 283.15, 'temp_max': 283.15, 'pressure': 990, 'humidity': 46}",10000.0,"{'speed': 14.9, 'deg': 260, 'gust': 20.1}",{'all': 40},1606849793.0,"{'type': 1, 'id': 8487, 'country': 'CL', 'sunrise': 1606810573, 'sunset': 1606870201}",-10800.0,3874787.0,Punta Arenas,,
9,200,,"{'lon': -72.07, 'lat': -45.58}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 287.15, 'feels_like': 271.36, 'temp_min': 287.15, 'temp_max': 287.15, 'pressure': 1002, 'humidity': 50}",10000.0,"{'speed': 20.6, 'deg': 290, 'gust': 26.7}",{'all': 40},1606849825.0,"{'type': 1, 'id': 8482, 'country': 'CL', 'sunrise': 1606812912, 'sunset': 1606868414}",-10800.0,3894426.0,Coyhaique,{'1h': 0.14},
10,200,,"{'lon': 30.35, 'lat': 66.97}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 272.04, 'feels_like': 268.78, 'temp_min': 272.04, 'temp_max': 272.04, 'pressure': 1014, 'humidity': 95}",3180.0,"{'speed': 1.46, 'deg': 274}",{'all': 96},1606849826.0,"{'type': 3, 'id': 2004408, 'country': 'RU', 'sunrise': 1606809993, 'sunset': 1606822159}",10800.0,583472.0,Alakurtti,,
11,200,,"{'lon': -81.33, 'lat': 48.47}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 267.11, 'feels_like': 260.16, 'temp_min': 267.11, 'temp_max': 267.11, 'pressure': 1014, 'humidity': 93, 'sea_level': 1014, 'grnd_level': 975}",10000.0,"{'speed': 5.92, 'deg': 354}",{'all': 98},1606849618.0,"{'country': 'CA', 'sunrise': 1606827405, 'sunset': 1606858367}",-18000.0,6166739.0,Timmins,,
12,200,,"{'lon': 168.33, 'lat': -46.6}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 288.15, 'feels_like': 284.86, 'temp_min': 288.15, 'temp_max': 288.15, 'pressure': 1005, 'humidity': 46}",10000.0,"{'speed': 2.68, 'deg': 316, 'gust': 5.81}",{'all': 100},1606849794.0,"{'type': 3, 'id': 2008959, 'country': 'NZ', 'sunrise': 1606841373, 'sunset': 1606897377}",46800.0,2206939.0,Bluff,,
